trainNo,installTime,installThickness,installKm,uninstallTime,uninstallThickness,uninstallKm,wearThickness,day,km,rate
03B097,2014/2/7,37.5,450987,2014/6/28,23.6,531438,13.9,141,80451,1.73
03B137,2014/2/21,36.8,234238,2014/7/1,23.9,309994,12.9,130,75756,1.7
03B093,2014/3/18,37,485488,2014/7/2,23.3,551395,13.7,106,65907,2.08
03B103,2013/11/29,36.8,380742,2014/7/6,23.6,498272,13.2,219,117530,1.12
03B104,2014/1/21,36.8,409494,2014/7/6,23.5,498269,13.3,166,88775,1.5
03B082,2014/1/21,37.2,710307,2014/7/7,24.1,800510,13.1,167,90203,1.45
03B105,2014/3/3,37.3,376419,2014/7/8,23.4,443843,13.9,127,67424,2.06
03B134,2013/12/31,37.5,193282,2014/7/9,23.9,294452,13.6,190,101170,1.34
03B130,2013/12/23,37.1,208305,2014/7/11,23.7,322923,13.4,200,114618,1.17
03B109,2013/12/17,37.1,284917,2014/7/12,24.7,393539,12.4,207,108622,1.14
03B110,2013/12/17,37.1,284917,2014/7/12,23.6,393540,13.5,207,108623,1.24
03B120,2014/2/11,36.4,172349,2014/7/15,24.8,307032,11.6,154,134683,0.86
03B094,2014/3/27,36.8,489935,2014/7/15,23.9,560049,12.9,110,70114,1.84
03B098,2014/1/14,37,436049,2014/7/21,24.2,544389,12.8,188,108340,1.18
03B102,2014/4/15,36.3,457802,2014/7/23,24,513600,12.3,99,55798,2.2
03B099,2014/3/28,36.9,401769,2014/7/24,23.7,468545,13.2,118,66776,1.98
03B081,2014/1/21,37.3,710309,2014/7/29,23.8,813765,13.5,189,103456,1.3
03B127,2013/12/17,37.7,105827,2014/7/29,24.3,218867,13.4,224,113040,1.19
03B114,2014/4/1,36.8,335933,2014/7/31,23.9,406717,12.9,121,70784,1.82
03B135,2014/1/9,36.8,238449,2014/8/2,24,350117,12.8,205,111668,1.15
03B132,2014/2/23,36.9,254633,2014/8/5,23.7,348864,13.2,163,94231,1.4
03B141,2014/3/10,36.9,318520,2014/8/6,23.5,397034,13.4,149,78514,1.71
03B136,2014/3/25,36.9,274357,2014/8/9,24.3,353981,12.6,137,79624,1.58
03B092,2014/3/25,37,512723,2014/8/12,25,589228,12,140,76505,1.57
03B119,2013/12/23,37.4,208974,2014/8/19,23.9,324439,13.5,239,115465,1.17
03B112,2014/4/7,36.5,297600,2014/8/20,23.5,370673,13,135,73073,1.78
03B090,2014/6/6,36.8,615006,2014/8/31,27,663547,9.8,86,48541,2.02
03B131,2014/4/3,36.9,275332,2014/8/31,23.5,365429,13.4,150,90097,1.49
03B095,2014/5/18,34.4,512334,2014/9/3,23.7,574328,10.7,108,61994,1.73
03B085,2014/3/17,37,679243,2014/9/4,22.8,769757,14.2,171,90514,1.57
03B113,2014/5/4,37.4,358580,2014/9/7,23.8,429369,13.6,126,70789,1.92
03B096,2014/5/18,34.6,512334,2014/9/8,24.7,577519,9.9,113,65185,1.52
03B106,2014/5/20,37.2,416373,2014/9/12,23.5,484326,13.7,115,67953,2.02
03B142,2014/5/13,36.9,363217,2014/9/13,23.5,435461,13.4,123,72244,1.85
03B089,2014/5/5,37,606072,2014/9/15,23.7,671133,13.3,133,65061,2.04
03B100,2014/5/22,36.2,432386,2014/9/19,23.4,501349,12.8,120,68963,1.86
03B105,2014/7/8,37,444363,2014/9/25,23.8,490074,13.2,79,45711,2.89
03B116,2014/5/11,37.1,328945,2014/9/26,24.2,402271,12.9,138,73326,1.76
03B099,2014/7/23,36.5,468545,2014/9/28,28,504565,8.5,67,36020,2.36
03B123,2014/4/4,37.3,206845,2014/9/29,23.4,294008,13.9,178,87163,1.59
03B124,2014/3/23,37,199999,2014/9/29,23.5,293838,13.5,190,93839,1.44
03B083,2014/4/17,36.8,723916,2014/10/1,23.7,804466,13.1,167,80550,1.63
03B138,2014/4/21,37.2,271087,2014/10/4,24.4,355190,12.8,166,84103,1.52
03B117,2014/5/16,36.8,302152,2014/10/4,23.9,382632,12.9,141,80480,1.6
03B118,2014/5/25,37.1,307615,2014/10/4,23.7,382631,13.4,132,75016,1.79
03B111,2014/6/21,37.1,338161,2014/10/5,23.8,397095,13.3,106,58934,2.26
03B115,2014/5/5,37.1,326370,2014/10/6,23.8,407692,13.3,154,81322,1.64
03B084,2014/4/17,36.9,723920,2014/10/9,23.6,808610,13.3,175,84690,1.57
03B082,2014/7/7,37.1,800510,2014/10/11,24.2,858314,12.9,96,57804,2.23
03B107,2014/5/12,36.9,372842,2014/10/15,23.9,450020,13,156,77178,1.68
03B129,2014/5/14,37.2,286416,2014/10/15,23.5,369764,13.7,154,83348,1.64
03B130,2014/7/10,37,322078,2014/10/15,22.5,370192,14.5,97,48114,3.01
03B101,2014/5/24,37,480648,2014/10/15,23.5,565225,13.5,144,84577,1.6
03B097,2014/6/28,36.8,532346,2014/10/18,23.9,591801,12.9,112,59455,2.17
03B086,2014/6/19,36.3,732944,2014/10/22,23.8,795737,12.5,125,62793,1.99
03B128,2014/6/13,37,194004,2014/10/23,23.9,269328,13.1,132,75324,1.74
03B133,2014/5/23,36.8,272466,2014/10/23,23.6,344196,13.2,153,71730,1.84
03B125,2014/5/20,37.2,244488,2014/10/26,23.8,332966,13.4,159,88478,1.51
03B098,2014/7/21,36.7,545262,2014/10/26,23.9,596658,12.8,97,51396,2.49
03B120,2014/7/15,36,307032,2014/10/29,23.9,364965,12.1,106,57933,2.09
03B104,2014/7/6,37.6,498269,2014/10/31,23,560495,14.6,117,62226,2.35
03B093,2014/7/2,37.1,551395,2014/10/31,23.3,609378,13.8,121,57983,2.38
03B102,2014/7/23,36.5,513600,2014/11/3,23.9,571994,12.6,103,58394,2.16
03B139,2014/6/14,37,330190,2014/11/3,23.7,413454,13.3,142,83264,1.6
03B140,2014/6/12,36.9,330189,2014/11/3,23.5,410856,13.4,144,80667,1.66
03B108,2014/5/12,37.6,372844,2014/11/5,23.6,461485,14,177,88641,1.58
03B126,2014/5/20,36.9,244488,2014/11/7,23.9,338552,13,171,94064,1.38
03B094,2014/7/15,37.2,560049,2014/11/7,22.5,615458,14.7,115,55409,2.65
03B127,2014/7/29,37,218867,2014/11/8,23.4,278113,13.6,102,59246,2.3
03B135,2014/8/2,36.5,350117,2014/11/9,23.9,410322,12.6,99,60205,2.09
03B137,2014/7/1,37,309994,2014/11/16,23.3,379100,13.7,138,69106,1.98
03B136,2014/8/9,36.5,353981,2014/11/18,23.7,414982,12.8,101,61001,2.1
03B091,2014/6/8,37.3,554779,2014/11/19,23.3,627230,14,164,72451,1.93
03B114,2014/7/31,37,406717,2014/11/20,23.8,468830,13.2,112,62113,2.13
03B103,2014/7/6,37.3,498272,2014/11/21,23.7,571843,13.6,138,73571,1.85
03B141,2014/8/6,36.7,397034,2014/11/23,24,469611,12.7,109,72577,1.75
03B081,2014/7/29,36.8,813765,2014/11/26,24.3,877132,12.5,120,63367,1.97
03B109,2014/7/12,36.8,393539,2014/11/26,23.8,450166,13,137,56627,2.3
03B134,2014/7/9,36.8,294452,2014/11/29,23.8,364957,13,143,70505,1.84
03B110,2014/7/11,36.7,393540,2014/12/9,23.3,458045,13.4,151,64505,2.08
03B112,2014/8/20,36.8,370673,2014/12/21,24,438773,12.8,123,68100,1.88
03B089,2014/9/15,36.9,671133,2014/12/24,23.8,719962,13.1,100,48829,2.68
03B090,2014/8/31,37,663547,2014/12/24,23.9,719650,13.1,115,56103,2.33
03B130,2014/10/14,36.9,369382,2014/12/31,23.8,411015,13.1,78,41633,3.15
03B118,2014/10/3,36.9,381981,2015/1/6,22.2,432955,14.7,95,50974,2.88
03B142,2014/9/13,36.9,435516,2015/1/6,24.2,496419,12.7,115,60903,2.09
03B131,2014/8/31,37,365429,2015/1/13,23.7,441616,13.3,135,76187,1.75
03B119,2014/8/19,36.7,324439,2015/1/18,23.3,408674,13.4,152,84235,1.59
03B133,2014/10/23,37,344196,2015/1/20,22.7,397281,14.3,89,53085,2.69
03B100,2014/9/19,37.3,501349,2015/1/22,23.8,561669,13.5,125,60320,2.24
03B129,2014/10/15,37,369764,2015/1/22,23.4,424569,13.6,99,54805,2.48
03B116,2014/9/26,36.5,402271,2015/1/24,24.2,467749,12.3,120,65478,1.88
03B092,2014/8/12,37.3,589228,2015/1/24,23.7,659558,13.6,165,70330,1.93
03B127,2014/11/8,36.8,279411,2015/1/26,23.9,326727,12.9,79,47316,2.73
